Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
neck_yaw,8.84275686134341E-05,0.0005921846418489,0.0765288238569517,0,0,0,0.486207507442593,0.000207657096537235,3.22638358188299E-07,-5.01229096133901E-07,0.000143474560199396,1.00071320418924E-06,0.000193124551580215,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/neck_yaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/neck_yaw.STL,,DY-S1-100-000 小人形上肢URDFA-1/DY-S1-120-001-A 颈1关节法兰URDFA-1;DY-S1-100-000 小人形上肢URDFA-1/DY47-C1-C2URDFA-1/47中段定制C1(1).stp-2;DY-S1-100-000 小人形上肢URDFA-1/DY47-C1-C2URDFA-1/DY47-C0-C0URDFA-1;DY-S1-100-000 小人形上肢URDFA-1/DY47-C1-C2URDFA-1/47后盖定制C2(1).stp-2,neck_yaw c,neck_yaw a,neck_yaw,revolute,0,0,0.158,0,0,0,torso,0,0,1,9,8.16,-2.62,2.62,,,,,,,,
neck_pitch,-0.0132654138547167,-0.000379655034131214,0.0808379193276359,0,0,0,1.75471564525411,0.00575284441867665,-1.0466553361632E-06,0.000426972338952715,0.00466894170896797,-4.15426456733929E-07,0.00648954804019927,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/neck_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/neck_pitch.STL,,DY-S1-100-000 小人形上肢URDFA-1/DY-S1-120-008-A 头部前盖URDFA-2;DY-S1-100-000 小人形上肢URDFA-1/DY-CR2-120-010-A 头部底座URDFA-1;DY-S1-100-000 小人形上肢URDFA-1/DY-CR2-120-006-A 透光件URDFA-1;DY-S1-100-000 小人形上肢URDFA-1/DY-CR2-120-011-A 头部顶盖URDFA-1;DY-S1-100-000 小人形上肢URDFA-1/DY-CR2-120-002-A 颈2关节后端固定件URDFA-1;DY-S1-100-000 小人形上肢URDFA-1/DY-CR2-120-003-A 颈2关节法兰URDFA-1;DY-S1-100-000 小人形上肢URDFA-1/DY-CR2-120-004-A 颈2关节法兰连接件URDFA-1;DY-S1-100-000 小人形上肢URDFA-1/DY-CR2-120-004-A 颈2关节法兰连接件URDFA-3,neck_pitch c,neck_pitch a,neck_pitch,revolute,0,0,0.069,0,0,0,neck_yaw,0,1,0,9,8.16,-0.61,0.61,,,,,,,,
left_shoulder_pitch,0.000810967832464678,0.0775003830351222,-1.49497542724364E-06,0,0,0,0.930164043092378,0.000527221116887569,-8.3863843424926E-07,-1.08989402653604E-08,0.000586343398484565,-9.26416759880775E-09,0.000604879919488931,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_shoulder_pitch.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_shoulder_pitch.STL,,DY-S1-100-000 小人形上肢URDFA-1/DY-S1-130-003-A 肩1关节电机法兰URDFA-2;DY-S1-100-000 小人形上肢URDFA-1/DY68-C2-C0URDFA-2/68中段定制c2.prt.prt-1;DY-S1-100-000 小人形上肢URDFA-1/DY68-C2-C0URDFA-2/DY68-C0-C0URDFA-1,left_shoulder_pitch c,left_shoulder_pitch a,left_shoulder_pitch,revolute,0,0.105,0.113,0,0,0,torso,0,1,0,58,8.9,-3.58,2.01,,,,,,,,
left_shoulder_roll,0.0141652088849537,0.00470217099508979,-0.0266602930614151,0,0,0,0.244865919605848,0.000274802101549266,-1.44993187728982E-05,8.2233204814371E-05,0.000275713982075138,-2.90037704331177E-06,0.000259810962537572,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_shoulder_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_shoulder_roll.STL,,DY-S1-100-000 小人形上肢URDFA-1/DY-CR2-100-001-A 肩2关节法兰URDFA-3,left_shoulder_roll c,left_shoulder_roll a,left_shoulder_roll,revolute,0,0.086,0,0,0,0,left_shoulder_pitch,1,0,0,58,8.9,-0.35,3.05,,,,,,,,
left_shoulder_yaw,-0.000118141288768387,-0.00191580632222349,-0.119553855044302,0,0,0,1.70083002836242,0.00114384558927814,-5.25168251146171E-07,1.52030079355938E-06,0.00107425141915309,4.43840854348751E-06,0.000995717966579555,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_shoulder_yaw.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_shoulder_yaw.STL,,DY-S1-100-000 小人形上肢URDFA-1/DY68-C0-C2URDFA-2/DY68-C0-C0URDFA-1;DY-S1-100-000 小人形上肢URDFA-1/DY68-C0-C2URDFA-2/68后盖定制c2.prt.prt-1;DY-S1-100-000 小人形上肢URDFA-1/DY-S1-100-002-A 肩3肘关节连接件URDFA-3;DY-S1-100-000 小人形上肢URDFA-1/DY68-C4-C0URDFA-1/68中段定制c4.prt.prt-1;DY-S1-100-000 小人形上肢URDFA-1/DY68-C4-C0URDFA-1/DY68-C0-C0URDFA-1,left_shoulder_yaw c,left_shoulder_yaw a,left_shoulder_yaw,revolute,-0.0005,0.0094639,-0.053672,0.17453,0,0,left_shoulder_roll,0,0,1,58,8.16,-2.53,2.53,,,,,,,,
left_elbow_pitch,0.00361677897266182,-0.00215294165729651,-0.206469837316772,0,0,0,1.08216386693925,0.000980873181414149,1.61344258184466E-05,-8.33117839136586E-06,0.000996420761684874,0.000109551241879338,0.000419744987335307,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_elbow_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_elbow_pitch.STL,,DY-S1-100-000 小人形上肢URDFA-1/DY-CR2-100-003-AL 左肘1关节法兰URDFA-5;DY-S1-100-000 小人形上肢URDFA-1/DY-S1-100-004-A 手掌连接件URDFA-2;MirrorBrainCo_Revo2_Basic Hand_3DURDFA-1,left_elbow_pitch c,left_elbow_pitch a,left_elbow_pitch,revolute,0,0,-0.1985,0,0,0,left_shoulder_yaw,0,1,0,9,8.16,-2.36,0,,,,,,,,
right_shoulder_pitch,0.000810967832458698,-0.0775003830349642,1.49497546492183E-06,0,0,0,0.930164043094249,0.000527221116887813,8.38638434602444E-07,1.08989402165281E-08,0.000586343398484903,-9.26416798797952E-09,0.00060487991948943,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_shoulder_pitch.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_shoulder_pitch.STL,,DY-S1-100-000 小人形上肢URDFA-1/DY68-C2-C0URDFA-1/DY68-C0-C0URDFA-1;DY-S1-100-000 小人形上肢URDFA-1/DY-S1-130-003-A 肩1关节电机法兰URDFA-1;DY-S1-100-000 小人形上肢URDFA-1/DY68-C2-C0URDFA-1/68中段定制c2.prt.prt-1,right_shoulder_pitch c,right_shoulder_pitch a,right_shoulder_pitch,revolute,0,-0.105,0.113,0,0,0,torso,0,1,0,58,8.9,-3.58,2.01,,,,,,,,
right_shoulder_roll,0.0141651366313796,-0.00470021108301111,-0.0266607206087564,0,0,0,0.244869022054333,0.000274802956773283,1.45004618262507E-05,8.22339159940875E-05,0.000275722682573169,2.89000662904362E-06,0.000259809694648126,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_shoulder_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_shoulder_roll.STL,,DY-S1-100-000 小人形上肢URDFA-1/DY-CR2-100-001-A 肩2关节法兰URDFA-1,right_shoulder_roll c,right_shoulder_roll a,right_shoulder_roll,revolute,0,-0.086,0,0,0,0,right_shoulder_pitch,1,0,0,58,8.9,-3.05,0.35,,,,,,,,
right_shoulder_yaw,-0.000118136004881577,0.00191421771288441,-0.119553893227355,0,0,0,1.70083075540733,0.00114384635233504,4.41949186806407E-07,1.52059293740971E-06,0.00107425233365942,-4.03488755059088E-06,0.000995718177267173,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_shoulder_yaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_shoulder_yaw.STL,,DY-S1-100-000 小人形上肢URDFA-1/DY-S1-100-002-A 肩3肘关节连接件URDFA-1;DY-S1-100-000 小人形上肢URDFA-1/DY68-C0-C2URDFA-1/DY68-C0-C0URDFA-1;DY-S1-100-000 小人形上肢URDFA-1/DY68-C0-C2URDFA-1/68后盖定制c2.prt.prt-1;DY-S1-100-000 小人形上肢URDFA-1/DY68-C1-C0URDFA-1/68中段定制c1.prt.prt-1;DY-S1-100-000 小人形上肢URDFA-1/DY68-C1-C0URDFA-1/DY68-C0-C0URDFA-1,right_shoulder_yaw c,right_shoulder_yaw a,right_shoulder_yaw,revolute,-0.0005,-0.0094638,-0.053672,-0.17453,0,0,right_shoulder_roll,0,0,1,58,8.9,-2.53,2.53,,,,,,,,
right_elbow_pitch,0.00361914041104263,0.00215574310050212,-0.206464378299435,0,0,0,1.08198281481944,0.000980441963913421,-1.61311339808254E-05,-8.33219180331428E-06,0.000996226927093379,-0.000109492509189528,0.000419514163614708,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_elbow_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_elbow_pitch.STL,,DY-S1-100-000 小人形上肢URDFA-1/DY-CR2-100-003-AR 右肘1关节法兰URDFA-2;DY-S1-100-000 小人形上肢URDFA-1/DY-S1-100-004-A 手掌连接件URDFA-1;BrainCo_Revo2_Basic Hand_3DURDFA-1,right_elbow_pitch c,right_elbow_pitch a,right_elbow_pitch,revolute,0,0,-0.1985,0,0,0,right_shoulder_yaw,0,1,0,58,8.9,-2.36,0,,,,,,,,
